question,language,intent,field_focus,query_focus,source
Tell me about the Savitribai Phule Scholarship for 5th to 7th standard Girls of OBC Category.,en,SCHEME_INFO,,,synthetic
What is the Savitribai Phule Scholarship for girls studying in 5th to 7th?,en,SCHEME_INFO,,,synthetic
Can you explain this scholarship?,en,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीबद्दल माहिती द्या.,mr,SCHEME_INFO,,,synthetic
५वी ते ७वीतील मुलींसाठी असलेल्या सावित्रीबाई फुले शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
ही योजना काय आहे?,mr,SCHEME_INFO,,,synthetic
Am I eligible for this scholarship if I belong to the OBC category?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can an OBC girl studying in 6th class apply for this scheme?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is there any income limit for this scholarship?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can girls studying in private schools apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Aadhaar-linked bank account mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can a 7th class OBC student receive this scholarship?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
मी OBC प्रवर्गातील ६वीतील विद्यार्थिनी आहे, मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
आधार लिंक बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
खाजगी शाळेतील मुलींना ही शिष्यवृत्ती मिळते का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या शिष्यवृत्तीसाठी कोण पात्र आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required for this scholarship?,en,DOCUMENT_QUERY,documents,,synthetic
Which documents should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
या योजनेसाठी कोणती कागदपत्रे लागतील?,mr,DOCUMENT_QUERY,documents,,synthetic
अर्जासोबत कोणती कागदपत्रे जोडावी?,mr,DOCUMENT_QUERY,documents,,synthetic
What benefits will I receive under this scholarship?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount is provided?,en,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीमध्ये किती लाभ मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
मला या योजनेत काय फायदा मिळेल?,mr,BENEFIT_QUERY,benefit,,synthetic
How can I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
What is the application process?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज प्रक्रिया काय आहे?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
Which department offers this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship provided by the OBC Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
ही योजना कोणत्या विभागाची आहे?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही शिष्यवृत्ती OBC विभागामार्फत दिली जाते का?,mr,DEPARTMENT_QUERY,dept,,synthetic
Show all scholarships for OBC girls studying in school.,en,FILTER_SEARCH,,list_expand,synthetic
List scholarships for girls in classes 5 to 7.,en,FILTER_SEARCH,,list_expand,synthetic
OBC मुलींसाठी शालेय शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
५वी ते ७वीतील मुलींसाठी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
Which is better, this scholarship or the Savitribai Phule Scholarship for 8th to 10th standard Girls?,en,COMPARISON,,,synthetic
५वी-७वी आणि ८वी-१०वी सावित्रीबाई फुले शिष्यवृत्तीमध्ये काय फरक आहे?,mr,COMPARISON,,,synthetic
Tell me about the Savitribai Phule Scholarship for 8th to 10th standard Girls.,en,SCHEME_INFO,,,synthetic
What is the scholarship for girls studying in 8th to 10th?,en,SCHEME_INFO,,,synthetic
Explain this scholarship scheme.,en,SCHEME_INFO,,,synthetic
८वी ते १०वीतील मुलींसाठी सावित्रीबाई फुले शिष्यवृत्तीबद्दल माहिती द्या.,mr,SCHEME_INFO,,,synthetic
ही योजना काय आहे?,mr,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीचा उद्देश काय आहे?,mr,SCHEME_INFO,,,synthetic
Am I eligible if I belong to the VJNT category?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can an SBC girl studying in 9th class apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is there any income restriction?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Can girls in government schools apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is Aadhaar-linked bank account compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Can a 10th class SBC student apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
मी SBC प्रवर्गातील विद्यार्थिनी आहे, मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
सरकारी शाळेतील मुलींना ही योजना मिळते का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
आधार लिंक बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेसाठी पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates are needed?,en,DOCUMENT_QUERY,documents,,synthetic
या योजनेसाठी कोणती कागदपत्रे लागतील?,mr,DOCUMENT_QUERY,documents,,synthetic
अर्जासाठी कोणती प्रमाणपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीमध्ये किती लाभ मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेत मला काय मिळेल?,mr,BENEFIT_QUERY,benefit,,synthetic
How do I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
What is the application procedure?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज प्रक्रिया समजावून सांगा.,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
Which department manages this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scheme under the OBC, SEBC, VJNT & SBC Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
ही योजना कोणत्या विभागाकडून चालवली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही योजना OBC, SEBC, VJNT आणि SBC कल्याण विभागाची आहे का?,mr,DEPARTMENT_QUERY,dept,,synthetic
Show scholarships for girls studying in classes 8 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
List scholarships for VJNT students in school.,en,FILTER_SEARCH,,list_expand,synthetic
८वी ते १०वीतील मुलींसाठी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
VJNT विद्यार्थ्यांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with the scholarship for 5th to 7th standard girls.,en,COMPARISON,,,synthetic
५वी-७वी आणि ८वी-१०वी शिष्यवृत्तीची तुलना करा.,mr,COMPARISON,,,synthetic
Tell me about the Savitribai Phule Scholarship for VJNT and SBC Girl Students Studying in 5th to 7th Standard.,en,SCHEME_INFO,,,synthetic
What is the Savitribai Phule Scholarship for VJNT and SBC girls?,en,SCHEME_INFO,,,synthetic
Explain this scholarship for girls studying in classes 5 to 7.,en,SCHEME_INFO,,,synthetic
Give complete information about this scheme.,en,SCHEME_INFO,,,synthetic
What is this scholarship meant for?,en,SCHEME_INFO,,,synthetic
५वी ते ७वीतील VJNT आणि SBC मुलींसाठी सावित्रीबाई फुले शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीबद्दल माहिती द्या.,mr,SCHEME_INFO,,,synthetic
ही योजना कशासाठी आहे?,mr,SCHEME_INFO,,,synthetic
या योजनेचा उद्देश काय आहे?,mr,SCHEME_INFO,,,synthetic
ही शिष्यवृत्ती कोणासाठी आहे?,mr,SCHEME_INFO,,,synthetic
Can a VJNT girl studying in 6th class apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Am I eligible if I belong to SBC category?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is this scholarship only for girls?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can private school students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is there any income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
Is Aadhaar-linked bank account compulsory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
What are the eligibility conditions?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Who is eligible for this scholarship?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
मी VJNT प्रवर्गातील विद्यार्थिनी आहे, मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
SBC विद्यार्थिनी अर्ज करू शकते का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
ही योजना फक्त मुलींसाठी आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
आधार लिंक बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या योजनेची पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या शिष्यवृत्तीसाठी कोण पात्र आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates should I upload?,en,DOCUMENT_QUERY,documents,,synthetic
या योजनेसाठी कोणती कागदपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
अर्जासाठी कोणती प्रमाणपत्रे लागतील?,mr,DOCUMENT_QUERY,documents,,synthetic
What benefits will I receive?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount is provided?,en,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीमध्ये कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेत किती रक्कम मिळते?,mr,BENEFIT_QUERY,benefit,,synthetic
How can I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
What is the application procedure?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज प्रक्रिया काय आहे?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
Which department provides this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scheme under OBC, SEBC, VJNT & SBC Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
ही योजना कोणत्या विभागामार्फत दिली जाते?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही योजना OBC, SEBC, VJNT आणि SBC कल्याण विभागाची आहे का?,mr,DEPARTMENT_QUERY,dept,,synthetic
Show scholarships for VJNT girls studying in school.,en,FILTER_SEARCH,,list_expand,synthetic
List scholarships for SBC girls in classes 5 to 7.,en,FILTER_SEARCH,,list_expand,synthetic
VJNT मुलींसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
SBC मुलींसाठी ५वी ते ७वीच्या योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with the 8th to 10th Savitribai Phule Scholarship.,en,COMPARISON,,,synthetic
५वी-७वी आणि ८वी-१०वी VJNT/SBC शिष्यवृत्तीची तुलना करा.,mr,COMPARISON,,,synthetic
Tell me about the Savitribai Phule Scholarship for VJNT and SBC Girl Students Studying in 8th to 10th Standard.,en,SCHEME_INFO,,,synthetic
What is the scholarship for VJNT and SBC girls studying in 8th to 10th?,en,SCHEME_INFO,,,synthetic
Explain this scholarship scheme.,en,SCHEME_INFO,,,synthetic
Give details about this scholarship.,en,SCHEME_INFO,,,synthetic
What is this scheme for?,en,SCHEME_INFO,,,synthetic
८वी ते १०वीतील VJNT आणि SBC मुलींसाठी सावित्रीबाई फुले शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीबद्दल सविस्तर माहिती द्या.,mr,SCHEME_INFO,,,synthetic
ही योजना कोणासाठी आहे?,mr,SCHEME_INFO,,,synthetic
या योजनेचा उद्देश काय आहे?,mr,SCHEME_INFO,,,synthetic
ही शिष्यवृत्ती काय आहे?,mr,SCHEME_INFO,,,synthetic
Can an SBC girl studying in 9th class apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Am I eligible if I belong to VJNT category?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is this scholarship only for girls?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can government school students apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is there any income limit?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
What are the eligibility criteria?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is Aadhaar-linked bank account mandatory?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Who is eligible for this scheme?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
मी VJNT विद्यार्थिनी आहे, मी पात्र आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
SBC मुलगी अर्ज करू शकते का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
ही योजना फक्त मुलींसाठी आहे का?,mr,ELIGIBILITY_MATCH,eligibility,,synthetic
या योजनेसाठी उत्पन्न मर्यादा आहे का?,mr,SCHEME_FIELD_QUERY,income_limit,,synthetic
या योजनेची पात्रता काय आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
आधार लिंक बँक खाते आवश्यक आहे का?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
या शिष्यवृत्तीसाठी कोण पात्र आहे?,mr,SCHEME_FIELD_QUERY,eligibility,,synthetic
What documents are required for this scholarship?,en,DOCUMENT_QUERY,documents,,synthetic
Which certificates are needed?,en,DOCUMENT_QUERY,documents,,synthetic
या योजनेसाठी कोणती कागदपत्रे लागतील?,mr,DOCUMENT_QUERY,documents,,synthetic
अर्जासाठी कोणती प्रमाणपत्रे आवश्यक आहेत?,mr,DOCUMENT_QUERY,documents,,synthetic
What benefits are provided under this scheme?,en,BENEFIT_QUERY,benefit,,synthetic
How much scholarship amount is available?,en,BENEFIT_QUERY,benefit,,synthetic
या शिष्यवृत्तीमध्ये कोणते लाभ मिळतात?,mr,BENEFIT_QUERY,benefit,,synthetic
या योजनेत किती लाभ मिळतो?,mr,BENEFIT_QUERY,benefit,,synthetic
How do I apply for this scholarship?,en,APPLICATION_PROCESS,how_to_apply,,synthetic
Explain the application process.,en,APPLICATION_PROCESS,how_to_apply,,synthetic
या योजनेसाठी अर्ज कसा करायचा?,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
अर्ज प्रक्रिया समजावून सांगा.,mr,APPLICATION_PROCESS,how_to_apply,,synthetic
Which department manages this scholarship?,en,DEPARTMENT_QUERY,dept,,synthetic
Is this scholarship under the OBC, SEBC, VJNT & SBC Welfare Department?,en,DEPARTMENT_QUERY,dept,,synthetic
ही योजना कोणत्या विभागाची आहे?,mr,DEPARTMENT_QUERY,dept,,synthetic
ही योजना OBC, SEBC, VJNT आणि SBC कल्याण विभागाकडून चालवली जाते का?,mr,DEPARTMENT_QUERY,dept,,synthetic
Show scholarships for girls studying in classes 8 to 10.,en,FILTER_SEARCH,,list_expand,synthetic
List scholarships for VJNT students in secondary school.,en,FILTER_SEARCH,,list_expand,synthetic
८वी ते १०वीतील मुलींसाठी योजना दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
VJNT विद्यार्थ्यांसाठी शिष्यवृत्ती दाखवा.,mr,FILTER_SEARCH,,list_expand,synthetic
Compare this scholarship with the scholarship for classes 5 to 7.,en,COMPARISON,,,synthetic
५वी-७वी आणि ८वी-१०वी शिष्यवृत्तीची तुलना करा.,mr,COMPARISON,,,synthetic
Tell me about the Meritorious Scholarship for VJNT and SBC students studying in Mumbai.,en,SCHEME_INFO,,,synthetic
What is the Meritorious Scholarship for VJNT/SBC students?,en,SCHEME_INFO,,,synthetic
Can you explain this scholarship?,en,SCHEME_INFO,,,synthetic
What is this Mumbai scholarship for VJNT students?,en,SCHEME_INFO,,,synthetic
Give complete information about this scheme.,en,SCHEME_INFO,,,synthetic
मुंबईतील VJNT आणि SBC विद्यार्थ्यांसाठी गुणवंत शिष्यवृत्तीची माहिती द्या.,mr,SCHEME_INFO,,,synthetic
या शिष्यवृत्तीबद्दल माहिती द्या.,mr,SCHEME_INFO,,,synthetic
ही योजना काय आहे?,mr,SCHEME_INFO,,,synthetic
या योजनेचा उद्देश काय आहे?,mr,SCHEME_INFO,,,synthetic
ही शिष्यवृत्ती कोणासाठी आहे?,mr,SCHEME_INFO,,,synthetic
I belong to the VJNT category. Am I eligible?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can an SBC student studying in 8th class apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
I scored 55% in school. Can I apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Is this scholarship only for Mumbai students?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Can students outside Mumbai apply?,en,ELIGIBILITY_MATCH,eligibility,,synthetic
Do I need to study in a government school?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
Is there any income limit for this scheme?,en,SCHEME_FIELD_QUERY,income_limit,,synthetic
What are the eligibility criteria?,en,SCHEME_FIELD_QUERY,eligibility,,synthetic
